"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","limit_to","perim_defender","rim_protector","oreb","dreb"
"CJ Elleby","NBA","F","POR",0.346590909090909,0.511363636363636,0.346590909090909,0.721590909090909,0.534090909090909,0.113636363636364,0.107954545454545,0.704545454545455,0.431818181818182
"Semi Ojeleye","NBA","F","BOSLACMIL",0.852272727272727,0.147727272727273,0.0965909090909091,0.232954545454545,0.664772727272727,0.102272727272727,0.0454545454545455,0.511363636363636,0.267045454545455
"Vlatko Čančar","NBA","F","DEN",0.590909090909091,0.375,0.238636363636364,0.806818181818182,0.732954545454545,0.420454545454545,0.386363636363636,0.323863636363636,0.335227272727273
"Anthony Gill","NBA","F","WAS",0.176136363636364,0.897727272727273,0.193181818181818,0.539772727272727,0.710227272727273,0.147727272727273,0.261363636363636,0.818181818181818,0.181818181818182
"Trevor Ariza","NBA","F","LALMIA",0.778409090909091,0.153409090909091,0.215909090909091,0.670454545454545,0.948863636363636,0.590909090909091,0.528409090909091,0.204545454545455,0.539772727272727
"Ish Wainright","NBA","F","PHO",0.886363636363636,0.0681818181818182,0.159090909090909,0.505681818181818,0.795454545454545,0.9375,0.806818181818182,0.727272727272727,0.0681818181818182
"David Roddy","NBA","F","MEM",0.596590909090909,0.261363636363636,0.494318181818182,0.147727272727273,0.210227272727273,0.232954545454545,0.232954545454545,0.403409090909091,0.159090909090909
"Paul Reed","NBA","F","PHI",0.0397727272727273,0.886363636363636,0.539772727272727,0.1875,0.0397727272727273,1,0.994318181818182,1,0.880681818181818
"JT Thor","NBA","F","CHO",0.528409090909091,0.346590909090909,0.159090909090909,0.369318181818182,0.227272727272727,0.369318181818182,0.534090909090909,0.375,0.232954545454545
"Thanasis Antetokounmpo","NBA","F","MIL",0.0511363636363636,0.903409090909091,0.346590909090909,0.602272727272727,0.0340909090909091,0.551136363636364,0.494318181818182,0.897727272727273,0.284090909090909
"Usman Garuba","NBA","F","HOU",0.375,0.568181818181818,0.0227272727272727,0.8125,0.494318181818182,0.840909090909091,0.869318181818182,0.982954545454545,0.9375
"Jalen Johnson","NBA","F","ATL",0.221590909090909,0.619318181818182,0.477272727272727,0.619318181818182,0.636363636363636,0.857954545454545,0.892045454545455,0.545454545454545,0.965909090909091
"Haywood Highsmith","NBA","F","MIA",0.693181818181818,0.227272727272727,0.142045454545455,0.443181818181818,0.238636363636364,0.715909090909091,0.630681818181818,0.755681818181818,0.482954545454545
"James Ennis III","NBA","F","BRKDENLACORL",0.636363636363636,0.630681818181818,0.267045454545455,0.6875,0.653409090909091,0.454545454545455,0.278409090909091,0.511363636363636,0.295454545454545
"Gary Clark","NBA","F","DENNOPORLPHI",0.977272727272727,0.00568181818181818,0.0284090909090909,0.590909090909091,0.761363636363636,0.3125,0.301136363636364,0.653409090909091,0.522727272727273
"KZ Okpala","NBA","F","MIASAC",0.420454545454545,0.3125,0.0625,0.539772727272727,0.6875,0.534090909090909,0.676136363636364,0.528409090909091,0.204545454545455
"Jaylin Williams","NBA","F","OKC",0.75,0.403409090909091,0.204545454545455,0.829545454545455,0.829545454545455,0.738636363636364,0.590909090909091,0.579545454545455,0.948863636363636
"Sekou Doumbouya","NBA","F","DETLAL",0.232954545454545,0.494318181818182,0.625,0.295454545454545,0.164772727272727,0.176136363636364,0.0795454545454545,0.579545454545455,0.323863636363636
