"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb"
"Ish Smith","NBA","G","CHODENWAS",0.0727969348659004,0.781609195402299,0.475095785440613,0.911877394636015,0.551724137931034,0.452107279693487,0.71264367816092
"Chris Duarte","NBA","G","IND",0.494252873563218,0.513409961685824,0.628352490421456,0.164750957854406,0.237547892720307,0.597701149425287,0.720306513409962
"Ty Jerome","NBA","G","GSWOKC",0.636015325670498,0.318007662835249,0.455938697318008,0.78544061302682,0.559386973180077,0.153256704980843,0.187739463601533
"Bones Hyland","NBA","G","DENLAC",0.850574712643678,0.279693486590038,0.885057471264368,0.636015325670498,0.310344827586207,0.153256704980843,0.739463601532567
"Isaiah Joe","NBA","G","OKCPHI",0.96551724137931,0.0727969348659004,0.375478927203065,0.122605363984674,0.363984674329502,0.268199233716475,0.333333333333333
"Victor Oladipo","NBA","G","HOUINDMIA",0.517241379310345,0.540229885057471,0.85823754789272,0.628352490421456,0.739463601532567,0.114942528735632,0.766283524904215
"Markelle Fultz","NBA","G","ORL",0.0191570881226054,0.954022988505747,0.762452107279693,0.946360153256705,0.885057471264368,0.789272030651341,0.425287356321839
"Jaden Ivey","NBA","G","DET",0.279693486590038,0.900383141762452,0.873563218390805,0.793103448275862,0.0842911877394636,0.754789272030651,0.383141762452107
"Jalen Williams","NBA","G","OKC",0.122605363984674,0.854406130268199,0.482758620689655,0.513409961685824,0.896551724137931,0.831417624521073,0.64367816091954
"Derrick Rose","NBA","G","DETNYK",0.241379310344828,0.739463601532567,0.842911877394636,0.835249042145594,0.647509578544061,0.452107279693487,0.233716475095785
"Bennedict Mathurin","NBA","G-F","IND",0.137931034482759,0.980842911877395,0.850574712643678,0,0.0114942528735632,0.865900383141762,0.524904214559387
"Lou Williams","NBA","G","ATLLAC",0.283524904214559,0.846743295019157,0.835249042145594,0.651340996168582,0.199233716475096,0.310344827586207,0.168582375478927
"Tomáš Satoranský","NBA","G","CHINOPSASWAS",0.103448275862069,0.796934865900383,0.160919540229885,0.934865900383142,0.601532567049808,0.666666666666667,0.35632183908046
"Ben McLemore","NBA","G","HOULALPOR",0.977011494252874,0.0498084291187739,0.651340996168582,0.00766283524904215,0.0727969348659004,0.0804597701149425,0.14176245210728
"Malachi Flynn","NBA","G","TOR",0.620689655172414,0.333333333333333,0.421455938697318,0.632183908045977,0.609195402298851,0.210727969348659,0.590038314176245
"Jose Alvarado","NBA","G","NOP",0.398467432950192,0.471264367816092,0.559386973180077,0.773946360153257,0.980842911877395,0.597701149425287,0.272030651340996
