"date","game_date","location","opponent","wl","team_score","opponent_score","conference_game","Winning_Margin","game_code","net","net_rk","spread","ATS_Margin","Pace","Offensive_Efficency","Defensive_Efficency","Points_Scored","Points_Allowed","Offensive_3PAr","Offensive_3Ppct","Offensive_TOpct","Offensive_OREBpct","Offensive_FTr","Defensive_3PAr","Defensive_3Ppct","Defensive_TOpct","Defensive_OREBpct","Defensive_FTr","Team"
2023-01-03,20230103,"Home","Ole Miss","W",84,62,"SEC",22,"Ole Miss 20230103",124,"Other",-10,12,73,115.1,85,84,62,31.7,45,9.6,22.5,39.7,34.8,8.3,17.8,36.2,24.6,"Alabama"
2023-01-07,20230107,"Home","Kentucky","W",78,52,"SEC",26,"Kentucky 20230107",26,"NET Top 50",-5,21,68,115.4,77,78,52,40.7,36.4,13.3,24.2,48.1,27.4,25,16.3,37.7,11,"Alabama"
2023-01-11,20230111,"Away","Arkansas","W",84,69,"SEC",15,"Arkansas 20230111",21,"NET Top 50",1,16,77,109.8,90.2,84,69,37,45,17,22.9,66.7,16.4,20,19.6,25.6,37.7,"Alabama"
2023-01-14,20230114,"Home","LSU","W",106,66,"SEC",40,"LSU 20230114",151,"Other",-14,26,73,145.9,90.9,106,66,71.1,37,11,45.5,26.3,34.4,38.1,15.1,30.4,47.5,"Alabama"
2023-01-17,20230117,"Away","Vanderbilt","W",78,66,"SEC",12,"Vanderbilt 20230117",81,"NET Top 100",-9,3,76,102.9,87.1,78,66,46.9,26.7,18.5,28.2,26.6,45.2,18.2,11.9,29.4,27.4,"Alabama"
2023-01-21,20230121,"Away","Missouri","W",85,64,"SEC",21,"Missouri 20230121",42,"NET Top 50",-6,15,77,111,83.5,85,64,51.5,28.6,14.4,34,47.1,40,10.7,13.1,27.4,27.1,"Alabama"
2023-01-25,20230125,"Home","Mississippi State","W",66,63,"SEC",3,"Mississippi State 20230125",49,"NET Top 50",-11,-8,68,97,92.5,66,63,49.1,17.9,17.6,32.4,38.6,26.8,20,22,25,21.4,"Alabama"
2023-01-28,20230128,"Away","Oklahoma","L",69,93,"OOC",-24,"Oklahoma 20230128",68,"NET Top 100",-5,-29,74,92.6,124.8,69,93,33.3,27.3,17.4,33.3,31.8,22,69.2,17.4,23.1,32.2,"Alabama"
2023-01-31,20230131,"Home","Vanderbilt","W",101,44,"SEC",57,"Vanderbilt 20230131",81,"NET Top 100",-15,42,70,144.4,62.9,101,44,67.2,46.3,17.2,35.7,22.9,46.9,10,22.9,30,17.2,"Alabama"
2023-02-04,20230204,"Away","LSU","W",79,69,"SEC",10,"LSU 20230204",151,"Other",-11,-1,71,111.4,97.3,79,69,50,44.8,12.7,12.9,25.9,43.5,25.9,11.3,29.6,50,"Alabama"
